english,telugu
The Normans conquered England in 1066.,నార్మన్లు 1066 లో ఇంగ్లాండ్‌ను జయించారు.
Tom has always wanted to study French.,టామ్ ఎప్పుడూ ఫ్రెంచ్ అధ్యయనం చేయాలనుకున్నాడు.
It's not serious.,ఇది తీవ్రంగా లేదు.
I have cut my finger.,నేను నా వేలు కత్తిరించాను.
Can you please tell me where the restaurant is?,దయచేసి రెస్టారెంట్ ఎక్కడ ఉందో చెప్పగలరా?
Tom asked Mary what was wrong.,టామ్ మేరీని తప్పు ఏమిటని అడిగాడు.
What do you think this is?,ఇది ఏమిటి?
Where do I sign up?,నేను ఎక్కడ సైన్ అప్ చేయాలి?
Tom started packing his suitcase.,టామ్ తన సూట్‌కేస్‌ను ప్యాక్ చేయడం ప్రారంభించాడు.
Tom is going to be jealous.,టామ్ అసూయపడబోతున్నాడు.
I forgot to lock the front door.,నేను ముందు తలుపు లాక్ చేయడం మర్చిపోయాను.
We're not accusing you of anything.,మేము మీపై ఏమీ ఆరోపణలు చేయడం లేదు.
Tom wanted me to help him.,టామ్ నేను అతనికి సహాయం చేయాలనుకున్నాను.
I knew you wouldn't want to go with us.,మీరు మాతో వెళ్లాలని అనుకోరని నాకు తెలుసు.
I recognized him immediately.,నేను వెంటనే అతన్ని గుర్తించాను.
I think I feel better.,నేను బాగున్నాను.
What can it be?,అది ఏమిటి?
The pond has frozen over.,చెరువు స్తంభింపజేసింది.
We drank a lot of coffee.,మేము చాలా కాఫీ తాగాము.
It's not known how many of them survived.,వారిలో ఎంతమంది ప్రాణాలతో బయటపడ్డారో తెలియదు.
It's here.,అది ఇదిగో.
He often gets sick.,అతను తరచుగా అనారోగ్యానికి గురవుతాడు.
Our train arrived on time.,మా రైలు సమయానికి వచ్చింది.
Tom doesn't have many books.,టామ్ వద్ద చాలా పుస్తకాలు లేవు.
Tom says his left leg hurts.,తన ఎడమ కాలు బాధిస్తుందని టామ్ చెప్పాడు.
I've read every book on this shelf.,నేను ఈ షెల్ఫ్‌లోని ప్రతి పుస్తకాన్ని చదివాను.
I'll call back soon.,నేను త్వరలో తిరిగి పిలుస్తాను.
Tom had absolutely no idea what to do.,టామ్కు ఏమి చేయాలో ఖచ్చితంగా తెలియదు.
I do think people will use it.,ప్రజలు దీనిని ఉపయోగిస్తారని నేను అనుకుంటున్నాను.
There's almost no milk left in the glass.,గాజులో దాదాపు పాలు లేవు.
I don't think that everyone is here yet.,అందరూ ఇంకా ఇక్కడ ఉన్నారని నేను అనుకోను.
I'll miss everyone.,నేను అందరినీ కోల్పోతాను.
Tom has gone away.,టామ్ వెళ్లిపోయాడు.
I had a good time.,నాకు మంచి సమయం వచ్చింది.
Don't come dressed like bums.,బంస్ లాగా దుస్తులు ధరించవద్దు.
Don't take their word for it.,దాని కోసం వారి మాటను తీసుకోకండి.
What's the fastest way to get to the airport?,విమానాశ్రయానికి చేరుకోవడానికి వేగవంతమైన మార్గం ఏమిటి?
We have don't get many opportunities to speak French.,ఫ్రెంచ్ మాట్లాడటానికి మాకు చాలా అవకాశాలు రాలేదు.
Does Tom speak French better than Mary?,టామ్ మేరీ కంటే ఫ్రెంచ్ మాట్లాడతాడా?
The sea gulls are flying low.,సముద్రపు గల్లాలు తక్కువగా ఎగురుతున్నాయి.
I am coming from Ahmedabad,నేను అహ్మదాబాద్ నుండి వస్తున్నాను
Tom told me I was mistaken.,టామ్ నాకు పొరపాటు అని చెప్పాడు.
His legs are long.,అతని కాళ్ళు పొడవుగా ఉన్నాయి.
We're going to be here all afternoon.,మేము మధ్యాహ్నం అంతా ఇక్కడే ఉండబోతున్నాం.
Tom knows the rules.,టామ్‌కు నియమాలు తెలుసు.
The two answers are both correct.,రెండు సమాధానాలు రెండూ సరైనవి.
Tom asked me to carry his suitcase.,టామ్ తన సూట్‌కేస్‌ను తీసుకెళ్లమని అడిగాడు.
He's a weird guy.,అతను విచిత్రమైన వ్యక్తి.
Tom is most likely eating now.,టామ్ ఇప్పుడు ఎక్కువగా తినడం.
"Hey, get your hands off me.","హే, మీ చేతులు నా నుండి తీసివేయండి."
Tom loved the song even though the lyrics were in a language he didn't understand.,సాహిత్యం తనకు అర్థం కాని భాషలో ఉన్నప్పటికీ టామ్ ఈ పాటను ఇష్టపడ్డాడు.
Could you excuse us a sec?,మీరు మాకు ఒక క్షణం క్షమించగలరా?
house,ఇల్లు
Tom died in his seventies.,టామ్ తన డెబ్బైలలో మరణించాడు.
Asia is roughly four times the size of Europe.,ఆసియా యూరప్ కంటే నాలుగు రెట్లు ఎక్కువ.
Tom said he didn't know how to swim very well.,టామ్ తనకు బాగా ఈత కొట్టడం తెలియదని చెప్పాడు.
I know I deserve this.,నేను దీనికి అర్హుడని నాకు తెలుసు.
We have nothing in common.,మాకు ఉమ్మడిగా ఏమీ లేదు.
Could you give me a lift home?,మీరు నాకు లిఫ్ట్ హోమ్ ఇవ్వగలరా?
Questions and answers,ప్రశ్నలు మరియు సమాధానాలు
Thousands of homes were destroyed.,వేలాది గృహాలు ధ్వంసమయ్యాయి.
"I am planning to visit Kyoto, and Nara as well.","నేను క్యోటో, మరియు నారాలను కూడా సందర్శించాలని ఆలోచిస్తున్నాను."
Tom is a hot-blooded individual.,టామ్ హాట్ బ్లడెడ్ వ్యక్తి.
What's your son's name?,మీ కొడుకు పేరు ఏమిటి?
It was impossible to find an answer.,సమాధానం కనుగొనడం అసాధ్యం.
I'll never forget going to Hawaii with her.,ఆమెతో హవాయికి వెళ్లడాన్ని నేను ఎప్పటికీ మర్చిపోలేను.
Father usually comes home at eight.,తండ్రి సాధారణంగా ఎనిమిది గంటలకు ఇంటికి వస్తాడు.
We go to school together.,మేమిద్దరం కలిసి బడికి వెళ్తాం.
We shouldn't have bought this car.,మేము ఈ కారు కొనకూడదు.
What are the languages do you know?,మీకు తెలిసిన భాషలు ఏమిటి?
Let's sit down on the bench.,బెంచ్ మీద కూర్చుందాం.
She gave him a clock.,ఆమె అతనికి ఒక గడియారం ఇచ్చింది.
Tom and I walk to school together every morning.,టామ్ మరియు నేను ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.
You should marry Tom.,మీరు టామ్‌ను వివాహం చేసుకోవాలి.
This box is empty. It has nothing in it.,ఈ పెట్టె ఖాళీగా ఉంది.
Tom has a high fever.,టామ్‌కు అధిక జ్వరం ఉంది.
We weren't prepared for what happened.,ఏమి జరిగిందో మేము సిద్ధంగా లేము.
He is a man of his word.,అతను తన మాటలోని వ్యక్తి.
You shouldn't let him get away with cheating.,మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.
I don't like being treated like a child.,నేను చిన్నపిల్లలా వ్యవహరించడం ఇష్టం లేదు.
I didn't know you were going to be there.,మీరు అక్కడ ఉండబోతున్నారని నాకు తెలియదు.
Tom is eating a cake.,టామ్ కేక్ తింటున్నాడు.
Tom said he wondered if Mary and I'd be able to do that by ourselves.,టామ్ మాట్లాడుతూ మేరీ మరియు నేను దానిని మనమే చేయగలమా అని ఆలోచిస్తున్నానని చెప్పాడు.
I want another beer.,నాకు మరో బీర్ కావాలి.
I remember saying that.,నేను చెప్పినట్లు గుర్తు.
Tom lived in Boston when he was a child.,టామ్ చిన్నతనంలో బోస్టన్‌లో నివసించాడు.
Tom loaded the truck with sand.,టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.
"How old are you, Tom?","టామ్, మీ వయస్సు ఎంత?"
It isn't big.,ఇది పెద్దది కాదు.
No one encouraged her.,ఎవరూ ఆమెను ప్రోత్సహించలేదు.
I wish she had come last night.,ఆమె గత రాత్రి వచ్చిందని నేను కోరుకుంటున్నాను.
He advised me not to believe what she says.,ఆమె చెప్పేది నమ్మవద్దని ఆయన నాకు సలహా ఇచ్చారు.
"Tom is the only person who can do that, I think.","టామ్ మాత్రమే అలా చేయగలడు, నేను అనుకుంటున్నాను."
It's a pity that I have no ear for music.,నాకు సంగీతానికి చెవి లేదు.
All of the men were dressed similarly to Tom.,పురుషులందరూ టామ్ మాదిరిగానే దుస్తులు ధరించారు.
The doctor took his pulse.,డాక్టర్ అతని పల్స్ తీసుకున్నాడు.
I want you to give a message to Tom.,మీరు టామ్‌కు సందేశం ఇవ్వాలనుకుంటున్నాను.
Tom plays the piano very well.,టామ్ పియానోను బాగా వాయించాడు.
He left his parents when he was eight years old.,అతను ఎనిమిదేళ్ళ వయసులో తల్లిదండ్రులను విడిచిపెట్టాడు.
I don't think Tom killed Mary.,టామ్ మేరీని చంపాడని నేను అనుకోను.
I want you to take me to Tom.,మీరు నన్ను టామ్ వద్దకు తీసుకెళ్లాలని నేను కోరుకుంటున్నాను.
Will anybody be at the station to meet me?,నన్ను కలవడానికి ఎవరైనా స్టేషన్‌లో ఉంటారా?
To lose face means to be humiliated.,ముఖం కోల్పోవడం అంటే అవమానించడం.
The girl I wanted to marry married somebody else.,నేను వివాహం చేసుకోవాలనుకున్న అమ్మాయి వేరొకరిని వివాహం చేసుకుంది.
Tom's days are numbered.,టామ్ యొక్క రోజులు లెక్కించబడ్డాయి.
I don't think that Tom was busy yesterday.,టామ్ నిన్న బిజీగా ఉన్నాడని నేను అనుకోను.
"Unfortunately, that's true.","దురదృష్టవశాత్తు, అది నిజం."
I like your work.,మీ పని నాకు చాలా ఇష్టం.
I don't care what people think.,ప్రజలు ఏమనుకుంటున్నారో నేను పట్టించుకోను.
What is your greatest strength?,నీయొక్క గొప్ప బలం ఏమిటి?
Tom called me this afternoon.,టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.
Try doing that again.,మళ్ళీ అలా ప్రయత్నించండి.
Tom thinks I need to help Mary.,నేను మేరీకి సహాయం చేయాల్సిన అవసరం ఉందని టామ్ భావిస్తాడు.
You're standing on my foot.,మీరు నా పాదాల మీద నిలబడి ఉన్నారు.
"In New York, the dollar was worth eight shillings.",న్యూయార్క్‌లో డాలర్ విలువ ఎనిమిది షిల్లింగ్‌లు.
She left the room without saying a word.,ఆమె ఒక్క మాట కూడా మాట్లాడకుండా గది నుండి బయలుదేరింది.
I have terrible handwriting.,నాకు భయంకరమైన చేతివ్రాత ఉంది.
Do you need it now?,మీకు ఇప్పుడు ఇది అవసరమా?
Tom is stuck.,టామ్ ఇరుక్కుపోయాడు.
What's Tom going to say about that?,టామ్ దాని గురించి ఏమి చెప్పబోతున్నాడు?
I'll be in the basement.,నేను నేలమాళిగలో ఉంటాను.
Guntur has a rich cultural heritage and a long history dating back to the ancient times.,గుంటూరుకు గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.
Tom has a secret room in his house.,టామ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.
Suneetha is trying to learn Tamil.,సునీత తమిళం నేర్చుకోవడానికి ప్రయత్నిస్తోంది.
I've heard that you shouldn't eat red meat more than once a day.,మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.
Your safety isn't our concern.,మీ భద్రత మా ఆందోళన కాదు.
Tom threw Mary a life preserver.,టామ్ మేరీని లైఫ్ ప్రిజర్వర్‌గా విసిరాడు.
My father died before I got my diploma.,నా డిప్లొమా రాకముందే నాన్న చనిపోయాడు.
"Tom isn't a bus driver, is he?","టామ్ బస్సు డ్రైవర్ కాదు, అవునా?"
King loves forestation.,రాజుకు అడవులు అంటే చాలా ఇష్టం
Where do you plan to spend the summer?,వేసవిని ఎక్కడ గడపాలని మీరు ప్లాన్ చేస్తున్నారు?
I don't really want to think about it.,నేను నిజంగా దాని గురించి ఆలోచించడం ఇష్టం లేదు.
Native place,స్వస్థలము
Tom said hi to me in French.,టామ్ ఫ్రెంచ్‌లో నాకు హాయ్ చెప్పాడు.
How does he do this?,అతను దీన్ని ఎలా చేస్తాడు?
Tom went to a costume party last weekend.,టామ్ గత వారాంతంలో కాస్ట్యూమ్ పార్టీకి వెళ్ళాడు.
I don't want to break your heart.,నేను మీ హృదయాన్ని విచ్ఛిన్నం చేయాలనుకోవడం లేదు.
There was a tall tree in front of my house.,నా ఇంటి ముందు ఒక పొడవైన చెట్టు ఉంది.
My father says he's planning to buy me a horse.,నా తండ్రి నాకు గుర్రాన్ని కొనాలని యోచిస్తున్నట్లు చెప్పారు.
Tom knew I was jealous.,టామ్ నాకు అసూయ ఉందని తెలుసు.
I need to know who Tom is.,టామ్ ఎవరో నాకు తెలుసుకోవాలి.
They're all equal.,వారంతా సమానం.
Don't make eye contact.,కంటికి పరిచయం చేయవద్దు.
That didn't even occur to me.,అది నాకు కూడా జరగలేదు.
Is that your idea?,అది మీ ఆలోచననా?
What do I have to say to convince you?,మిమ్మల్ని ఒప్పించటానికి నేను ఏమి చెప్పాలి?
Tom looks dreadful.,టామ్ భయంకరంగా కనిపిస్తాడు.
Maybe they will come and maybe they won't.,బహుశా వారు వస్తారు మరియు వారు రాకపోవచ్చు.
I love comedies.,నాకు కామెడీలు చాలా ఇష్టం.
Our son was killed in the war.,మా కొడుకు యుద్ధంలో చంపబడ్డాడు.
He always took a seat in the front row.,అతను ఎప్పుడూ ముందు వరుసలో ఒక సీటు తీసుకున్నాడు.
I want to date other women.,నేను ఇతర మహిళలతో డేటింగ్ చేయాలనుకుంటున్నాను.
That's what we're waiting for.,దాని కోసం మేము ఎదురు చూస్తున్నాము.
"In England, in the summer, the sun rises at about 4 a.m.","ఇంగ్లాండ్‌లో, వేసవిలో, ఉదయం 4 గంటలకు సూర్యుడు ఉదయిస్తాడు."
Both of us should lose some weight.,మా ఇద్దరికీ కొంత బరువు తగ్గాలి.
I do not have to study Japanese.,నేను జపనీస్ అధ్యయనం చేయవలసిన అవసరం లేదు.
"I'm sorry, you have the wrong number.","క్షమించండి, మీకు తప్పు సంఖ్య ఉంది."
Where were you yesterday?,నిన్న నువ్వు ఎక్కడ ఉన్నావు?
The burglar came into the house through this door.,దొంగ ఈ తలుపు ద్వారా ఇంట్లోకి వచ్చాడు.
Clean the barrel of this rifle.,ఈ రైఫిల్ యొక్క బారెల్ శుభ్రం చేయండి.
I'm very angry now.,నాకు ఇప్పుడు చాలా కోపం ఉంది.
"I'm sorry, but could you move over a bit so I have room to sit?","నన్ను క్షమించండి, కానీ మీరు కూర్చోవడానికి స్థలం ఉన్నందున మీరు కొంచెం ముందుకు వెళ్ళగలరా?"
I was tired and so was everybody else.,నేను అలసిపోయాను మరియు మిగతా వారందరూ.
Should I help Tom with his homework?,టామ్ తన ఇంటి పనికి నేను సహాయం చేయాలా?
Will you sing?,మీరు పాడతారా?
I'm not as brave as Tom.,నేను టామ్ లాగా ధైర్యంగా లేను.
It took me several hours to paint that room.,ఆ గదిని చిత్రించడానికి నాకు చాలా గంటలు పట్టింది.
"You always talk back to me, don't you?","మీరు ఎల్లప్పుడూ నాతో తిరిగి మాట్లాడతారు, లేదా?"
Nobody's going anywhere.,ఎవరూ ఎక్కడికి వెళ్ళడం లేదు.
How could I've let that happen?,నేను దానిని ఎలా చేయగలను?
I'm really sorry about what happened.,ఏమి జరిగిందో నేను నిజంగా క్షమించండి.
Chatrapati shivaji one of the most powerful empires in India during the 17th and 18th centuries.,చత్రపతి శివాజీ 17వ మరియు 18వ శతాబ్దాలలో భారతదేశంలోని అత్యంత శక్తివంతమైన సామ్రాజ్యాలలో ఒకటి.
My aunt had three kids.,నా అత్తకు ముగ్గురు పిల్లలు ఉన్నారు.
sports,క్రీడలు
I don't think Tom is coming to our rescue.,టామ్ మా రక్షణకు వస్తున్నాడని నేను అనుకోను.
I know you're afraid of heights.,మీరు ఎత్తులకు భయపడుతున్నారని నాకు తెలుసు.
The dining room has two doors.,భోజనాల గదికి రెండు తలుపులు ఉన్నాయి.
It's doubtful that anything will grow here.,ఇక్కడ ఏదైనా పెరుగుతుందా అనేది సందేహమే.
"K. S. Chitra has won numerous awards for her contribution to music including six National Film Awards, five Filmfare Awards South, and several state government awards.","K. S. చిత్ర ఆరు జాతీయ చలనచిత్ర అవార్డులు, ఐదు ఫిల్మ్‌ఫేర్ అవార్డులు సౌత్ మరియు అనేక రాష్ట్ర ప్రభుత్వ అవార్డులతో సహా సంగీతానికి ఆమె చేసిన కృషికి అనేక అవార్డులను గెలుచుకుంది."
Tom was hoping that he could help Mary.,టామ్ మేరీకి సహాయం చేయగలడని ఆశతో ఉన్నాడు.
I got a smooth shave.,నాకు మృదువైన గొరుగుట వచ్చింది.
"Many men want to be thin, too.",చాలా మంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
Did they ever find Tom?,వారు ఎప్పుడైనా టామ్‌ను కనుగొన్నారా?
He has a Toyota.,అతనికి టయోటా ఉంది.
She was asked not to speak at the meeting.,సమావేశంలో మాట్లాడవద్దని ఆమెను కోరారు.
I believe you all know Tom.,మీ అందరికీ టామ్ తెలుసని నేను నమ్ముతున్నాను.
We must stop Tom before he kills himself.,టామ్ తనను తాను చంపేముందు మనం అతన్ని ఆపాలి.
I don't remember mailing the letter.,నాకు లేఖ మెయిల్ చేయడం గుర్తులేదు.
Tom was defeated.,టామ్ ఓడిపోయాడు.
There are some differences.,కొన్ని తేడాలు ఉన్నాయి.
Is it cheaper to call after nine?,తొమ్మిది తర్వాత కాల్ చేయడం చౌకైనదా?
The new telescope was shipped in a huge wooden box.,కొత్త టెలిస్కోప్ భారీ చెక్క పెట్టెలో రవాణా చేయబడింది.
Tom said that he felt cold.,టామ్ తనకు చలిగా అనిపించింది.
The time will come when she'll regret it.,ఆమె చింతిస్తున్న సమయం వస్తుంది.
You know I love you!,నేను నిన్ను ప్రేమిస్తున్నానని నీకు తెలుసు!
I want to come back next year.,నేను వచ్చే ఏడాది తిరిగి రావాలనుకుంటున్నాను.
My house is on the outskirts of town.,నా ఇల్లు పట్టణ శివార్లలో ఉంది.
The sky was gray all morning.,ఉదయం అంతా ఆకాశం బూడిద రంగులో ఉంది.
Tom will always remember Mary.,టామ్ ఎల్లప్పుడూ మేరీని గుర్తుంచుకుంటాడు.
I'm considering becoming a French teacher.,నేను ఫ్రెంచ్ ఉపాధ్యాయుడిగా మారాలని ఆలోచిస్తున్నాను.
Tom is a schemer.,టామ్ ఒక స్కీమర్.
Tom told me the book was interesting.,టామ్ పుస్తకం ఆసక్తికరంగా ఉందని నాకు చెప్పారు.
Did Tom tell you he's studying French?,టామ్ అతను ఫ్రెంచ్ చదువుతున్నాడని మీకు చెప్పాడా?
Tom buys me things that I want.,టామ్ నాకు కావలసిన వస్తువులను కొంటాడు.
Where can I advertise for a used car?,ఉపయోగించిన కారు కోసం నేను ఎక్కడ ప్రకటన చేయవచ్చు?
The couple broke off their engagement.,ఈ జంట వారి నిశ్చితార్థాన్ని విరమించుకున్నారు.
There's not enough time to eat now.,ఇప్పుడు తినడానికి తగినంత సమయం లేదు.
Tom says he was fired.,టామ్ తనను తొలగించారని చెప్పారు.
She was in the hospital for six weeks because she was sick.,ఆమె అనారోగ్యంతో ఆరు వారాలపాటు ఆసుపత్రిలో ఉంది.
Please inform me of any change in his condition.,దయచేసి అతని స్థితిలో ఏదైనా మార్పు గురించి నాకు తెలియజేయండి.
Tom is signing documents.,టామ్ పత్రాలపై సంతకం చేస్తున్నాడు.
I'm sure of this.,నేను ఈ విషయంలో ఖచ్చితంగా ఉన్నాను.
Tom and Mary wanted to be together.,టామ్ మరియు మేరీ కలిసి ఉండాలని కోరుకున్నారు.
I knew this would be hard for you.,ఇది మీకు కష్టమని నాకు తెలుసు.
Where's it used?,ఇది ఎక్కడ ఉపయోగించబడింది?
Tom sells cars.,టామ్ కార్లను విక్రయిస్తాడు.
Tom was smart enough to escape.,టామ్ తప్పించుకునేంత తెలివైనవాడు.
His death was a great loss to our country.,ఆయన మరణం మన దేశానికి ఎంతో నష్టమే.
My watch loses three minutes a week.,నా గడియారం వారానికి మూడు నిమిషాలు కోల్పోతుంది.
Let us tell you why we came.,మేము ఎందుకు వచ్చామో మీకు చెప్తాము.
Tom speaks French better than Mary does.,టామ్ మేరీ కంటే ఫ్రెంచ్ బాగా మాట్లాడతాడు.
name,పేరు
A nod is as good as a wink to a blind horse.,గుడ్డి గుర్రానికి వింక్ చేసినంత మంచిది.
She's busy.,ఆమె బిజీగా ఉంది.
I strongly suspected that he had been lying.,అతను అబద్ధం చెప్పాడని నేను గట్టిగా అనుమానించాను.
Don't tell my wife that.,నా భార్యకు అలా చెప్పకండి.
I must buy a new pair of shoes.,నేను తప్పనిసరిగా కొత్త జత బూట్లు కొనాలి.
Tom sometimes agrees with me.,టామ్ కొన్నిసార్లు నాతో అంగీకరిస్తాడు.
Have you ever climbed Mt. Fuji?,మీరు ఎప్పుడైనా మౌంట్ ఎక్కారా?
You recovered quickly.,మీరు త్వరగా కోలుకున్నారు.
I've learned so much from you.,నేను మీ నుండి చాలా నేర్చుకున్నాను.
I know that this is important to you.,ఇది మీకు ముఖ్యమని నాకు తెలుసు.
Both Tom and I'll be busy this afternoon.,టామ్ మరియు నేను ఇద్దరూ ఈ మధ్యాహ్నం బిజీగా ఉంటాము.
"You can hear English on Channel 1, and Japanese on Channel 7.",మీరు ఛానల్ 1 లో ఇంగ్లీష్ మరియు ఛానల్ 7 లో జపనీస్ వినవచ్చు.
These are the new ones.,ఇవి కొత్తవి.
I'm looking for a job.,నేను ఉద్యోగం కోసం చూస్తున్నాను.
Tom told us he loved skiing.,టామ్ మాకు స్కీయింగ్ అంటే చాలా ఇష్టమని చెప్పాడు.
That's his weak spot.,అది అతని బలహీనమైన ప్రదేశం.
Do you have blankets?,మీకు దుప్పట్లు ఉన్నాయా?
Tom can't whistle.,టామ్ ఈల వేయలేడు.
Nobody said a thing.,ఎవరూ ఏమీ అనలేదు.
I'm getting bored.,నేను విసుగు చెందుతున్నాను.
I wanted you to know.,మీరు తెలుసుకోవాలని నేను కోరుకున్నాను.
"If Tom wasn't so stupid, he would've understood quicker.","టామ్ అంత తెలివితక్కువవాడు కాకపోతే, అతను త్వరగా అర్థం చేసుకున్నాడు."
I never liked Christmas.,నేను క్రిస్మస్‌ను ఎప్పుడూ ఇష్టపడలేదు.
Put it on my tab.,నా ట్యాబ్‌లో ఉంచండి.
Tom is doing an exemplary job.,టామ్ ఒక ఆదర్శప్రాయమైన పని చేస్తున్నాడు.
Are you saying this doesn't matter?,ఇది పట్టింపు లేదని మీరు చెబుతున్నారా?
What should I tell Tom?,నేను టామ్‌కు ఏమి చెప్పాలి?
That sounded weird.,అది విచిత్రంగా అనిపించింది.
You've got to apologize.,మీరు క్షమాపణ చెప్పాలి.
Shall we take a taxi?,మనం టాక్సీ తీసుకుందా?
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.,టామ్ ఒక ప్రసిద్ధ గాయకుడికి పది వేల డాలర్లు ఇచ్చి హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్‌కు వచ్చాడు.
How will that decision affect us?,ఆ నిర్ణయం మనల్ని ఎలా ప్రభావితం చేస్తుంది?
I know what I want.,నాకు ఏమి కావాలో నాకు తెలుసు.
I expect a detailed report.,నేను ఒక వివరణాత్మక నివేదికను ఆశిస్తున్నాను.
You could invite me.,మీరు నన్ను ఆహ్వానించవచ్చు.
Position,స్థానం
You did your job well.,మీరు మీ పని బాగా చేసారు.
We took him to the hospital.,మేము అతన్ని ఆసుపత్రికి తీసుకువెళ్ళాము.
I can't even remember what Tom looks like.,టామ్ ఎలా ఉంటాడో నాకు గుర్తులేదు.
The police went over every inch of this place.,పోలీసులు ఈ స్థలం యొక్క ప్రతి అంగుళం మీదుగా వెళ్లారు.
I made tea for Tom.,నేను టామ్ కోసం టీ తయారు చేసాను.
Tom told me I shouldn't talk to you.,నేను మీతో మాట్లాడకూడదని టామ్ చెప్పాడు.
The teacher wrote French words on the blackboard.,గురువు నల్లబల్లపై ఫ్రెంచ్ పదాలు రాశారు.
Is your mother at home now?,మీ తల్లి ఇప్పుడు ఇంట్లో ఉందా?
Tom wasn't working for me.,టామ్ నా కోసం పని చేయలేదు.
Who taught Tom how to speak French?,టామ్ ఫ్రెంచ్ మాట్లాడటం ఎలా నేర్పించారు?
Tom and Mary believed John.,టామ్ మరియు మేరీ జాన్‌ను నమ్మారు.
Tom is the only person Mary says she can trust.,మేరీ తనను నమ్మగలదని చెప్పే ఏకైక వ్యక్తి టామ్.
I haven't accomplished anything yet.,నేను ఇంకా ఏమీ సాధించలేదు.
Her nails are red.,ఆమె గోర్లు ఎర్రగా ఉన్నాయి.
Tom is the first guy Mary has really been interested in since she broke up with John.,జాన్ జాన్‌తో విడిపోయినప్పటి నుండి మేరీకి నిజంగా ఆసక్తి ఉన్న మొదటి వ్యక్తి టామ్.
Is Tom smarter than you?,టామ్ మీ కంటే తెలివిగా ఉన్నారా?
"OK, I think we can begin.","సరే, మనం ప్రారంభించవచ్చని అనుకుంటున్నాను."
Tom has earned a lot of money.,టామ్ చాలా డబ్బు సంపాదించాడు.
Do you do anything else?,మీరు మరేదైనా చేస్తున్నారా?
Washington was the most famous man in America.,వాషింగ్టన్ అమెరికాలో అత్యంత ప్రసిద్ధ వ్యక్తి.
We're not worried about that at all.,మేము దాని గురించి ఆందోళన చెందలేదు.
All you have to do is fill in this form.,మీరు చేయాల్సిందల్లా ఈ ఫారమ్ నింపండి.
It can  enhance creativity by encouraging players to think outside the box and explore different strategies and ideas.,ఇది పెట్టె వెలుపల ఆలోచించడానికి మరియు విభిన్న వ్యూహాలు మరియు ఆలోచనలను అన్వేషించడానికి ఆటగాళ్లను ప్రోత్సహించడం ద్వారా సృజనాత్మకతను మెరుగుపరుస్తుంది.
Tom locked his doors.,టామ్ తన తలుపులు లాక్ చేశాడు.
Where did you get your camera repaired?,మీ కెమెరా మరమ్మతులు ఎక్కడ పొందారు?
forgot,మర్చిపోయాను
I'm trying to stay calm.,నేను ప్రశాంతంగా ఉండటానికి ప్రయత్నిస్తున్నాను.
I had lunch with Tom today.,నేను ఈ రోజు టామ్‌తో కలిసి భోజనం చేశాను.
Are you sleepy?,నిద్రోస్తుందా?
Both of my brothers are married.,నా సోదరులు ఇద్దరూ వివాహం చేసుకున్నారు.
Their house is near here.,వారి ఇల్లు ఇక్కడ ఉంది.
Tell Tom that I'll prune his trees for him.,టామ్ కి చెప్పండి నేను అతని చెట్లను కత్తిరించుకుంటాను.
Where,ఎక్కడ
I don't have a lot of patients.,నాకు చాలా మంది రోగులు లేరు.
Tom and I have nothing to hide.,టామ్ మరియు నేను దాచడానికి ఏమీ లేదు.
Tom had a narrow escape from death.,టామ్ మరణం నుండి ఇరుకైన తప్పించుకున్నాడు.
Carry on with your work.,మీ పనిని కొనసాగించండి.
Tom popped into the supermarket on his way home to buy some milk.,టామ్ కొంచెం పాలు కొనడానికి ఇంటికి వెళ్ళేటప్పుడు సూపర్ మార్కెట్లోకి ప్రవేశించాడు.
I don't think they're safe.,వారు సురక్షితంగా ఉన్నారని నేను అనుకోను.
Do you remember what time Tom said he'd be here?,టామ్ ఇక్కడే ఉంటానని చెప్పిన సమయం మీకు గుర్తుందా?
plants,మొక్కలు
I can't find Tom anywhere.,నేను టామ్‌ను ఎక్కడా కనుగొనలేను.
"Mary is a pretty girl, isn't she?","మేరీ ఒక అందమైన అమ్మాయి, ఆమె కాదా?"
rich,ధనవంతుడు
playing with fire,నిప్పుతో ఆడుకుంటున్నాడు
We have a complete set of the recordings of Beethoven's symphonies.,బీతొవెన్ యొక్క సింఫొనీల రికార్డింగ్‌ల పూర్తి సెట్ మాకు ఉంది.
Summer has just begun.,వేసవి ఇప్పుడే ప్రారంభమైంది.
I'm glad to hear you're better.,మీరు బాగున్నారని వినడానికి నేను సంతోషిస్తున్నాను.
Tom pocketed the money.,టామ్ డబ్బు జేబులో పెట్టుకున్నాడు.
